Date,C,JPM,BAC,WFC,GS,BK
2015-07-01,41.766090393066406,51.816673278808594,13.819347381591797,42.56525039672851,170.76622009277344,32.544010162353516
2015-07-02,41.533565521240234,51.397972106933594,13.666869163513184,42.4380989074707,170.16429138183594,32.243106842041016
2015-07-06,41.316036224365234,51.253360748291016,13.594644546508787,42.213722229003906,169.22076416015625,32.057926177978516
2015-07-07,40.880985260009766,50.84990310668945,13.39401626586914,42.07160186767578,169.35906982421875,32.05022048950195
2015-07-08,39.60578918457031,49.807029724121094,13.040904998779297,41.32366943359375,165.98342895507812,31.278667449951172
2015-07-09,40.288387298583984,50.32465744018555,13.225486755371094,41.51064682006836,166.59349060058594,31.62586975097656
2015-07-10,40.92598342895508,51.04020690917969,13.402040481567385,41.94445037841797,168.52938842773438,32.181373596191406
2015-07-13,41.66108703613281,51.831878662109375,13.658843994140623,42.4380989074707,170.9126739501953,32.69831848144531
2015-07-14,41.93863296508789,52.55504608154297,13.74712085723877,42.819549560546875,172.57203674316406,32.814056396484375
2015-07-15,42.35118865966797,52.669227600097656,14.188507080078123,43.215972900390625,173.22271728515625,32.92206954956055
2015-07-16,43.948917388916016,52.95088577270508,14.405189514160156,43.50764846801758,171.77488708496094,33.230690002441406
2015-07-17,44.06894302368164,52.684452056884766,14.52556610107422,43.33562469482422,172.81600952148438,33.03779983520508
2015-07-20,44.14394760131836,52.7225227355957,14.541614532470703,43.41790390014648,172.75912475585938,33.161258697509766
2015-07-21,44.33148193359375,52.6007080078125,14.509512901306152,43.34311294555664,172.03517150878906,34.063961029052734
2015-07-22,45.26161575317383,53.34673309326172,14.80644702911377,43.7694206237793,173.4586181640625,34.51145553588867
2015-07-23,44.909053802490234,53.01178741455078,14.589764595031738,43.537574768066406,171.6691436767578,34.31086730957031
2015-07-24,44.03144454956055,52.45608139038086,14.36505889892578,43.215972900390625,168.65957641601562,33.732208251953125
2015-07-27,43.476356506347656,51.7709846496582,14.180481910705566,43.07384490966797,166.76431274414062,33.37728500366211
2015-07-28,43.783897399902344,51.80142593383789,14.349006652832031,42.93174362182617,167.7566375732422,33.631893157958984
2015-07-29,44.19645309448242,52.47893524169922,14.57371997833252,43.35057067871094,168.2447052001953,33.77848434448242
2015-07-30,44.203975677490234,52.55504608154297,14.549636840820312,43.49270248413086,168.5375213623047,34.0263557434082
2015-07-31,43.88864517211914,52.16682815551758,14.349006652832031,43.28326797485352,166.8049774169922,33.6158447265625
2015-08-03,43.87364196777344,52.16682815551758,14.260730743408203,43.31318664550781,166.49594116210938,33.6158447265625
2015-08-04,43.89615249633789,52.11353302001953,14.284808158874512,43.24586868286133,166.8862762451172,33.995365142822266
2015-08-05,44.09886169433594,52.31907653808594,14.340985298156738,43.40019607543945,167.31739807128906,34.3903923034668
2015-08-06,43.618377685546875,51.95367431640625,14.29283618927002,43.30985641479492,166.82119750976562,34.29743957519531
2015-08-07,43.47574615478515,51.80142593383789,14.24468231201172,43.264686584472656,165.47911071777344,34.6614990234375
2015-08-10,44.09886169433594,52.440860748291016,14.477411270141602,43.618526458740234,167.53700256347656,35.05650329589844
2015-08-11,43.27304458618164,51.93846130371094,14.276785850524902,43.0689582824707,164.06385803222656,34.59951400756836
2015-08-12,42.725006103515625,51.18484115600586,14.060104370117188,42.70008850097656,163.60012817382812,34.003108978271484
2015-08-13,43.04030227661133,51.42082214355469,14.140355110168455,42.82806015014648,163.2829132080078,33.97987365722656
2015-08-14,43.23550796508789,51.67963790893555,14.204556465148926,43.159305572509766,164.32403564453125,34.13478088378906
2015-08-17,43.370635986328125,51.816673278808594,14.260730743408203,43.17435836791992,164.77142333984375,34.12704849243164
2015-08-18,43.205474853515625,51.923240661621094,14.196531295776367,43.31739807128906,163.64083862304688,34.35165786743164
2015-08-19,42.79255676269531,51.45887756347656,14.011945724487305,42.956031799316406,163.45375061035156,34.219993591308594
2015-08-20,41.53882598876953,50.19524383544922,13.418091773986816,42.248382568359375,160.03744506835938,33.15110397338867
2015-08-21,40.24002456665039,48.41398239135742,12.920527458190918,40.62981414794922,152.70864868164062,32.10544204711914
2015-08-24,37.792598724365234,45.8638801574707,12.270490646362305,38.58213424682617,145.9736785888672,29.928939819335938
2015-08-25,37.447261810302734,45.60505294799805,12.246411323547363,37.65616989135742,144.96502685546875,29.26280975341797
2015-08-26,39.2490348815918,47.88872528076172,12.888428688049316,39.37260055541992,149.99191284179688,30.57181167602539
2015-08-27,40.11989974975586,49.083858489990234,13.193385124206545,40.67498397827149,153.90435791015625,31.601980209350582
2015-08-28,39.99978256225586,48.817420959472656,13.12918186187744,40.30610656738281,153.24319458007812,31.501285552978516
2015-08-31,40.14993667602539,48.794586181640625,13.113134384155272,40.14802169799805,153.93704223632812,30.82742500305176
2015-09-01,38.2430305480957,46.77733612060547,12.503219604492188,38.38639831542969,148.64797973632812,29.696571350097656
2015-09-02,38.85114669799805,47.62992858886719,12.760851860046388,39.13922500610352,150.59869384765625,30.22327995300293
2015-09-03,38.88117599487305,47.713645935058594,12.8333101272583,39.470458984375,151.04762268066406,30.424652099609375
2015-09-04,37.980281829833984,46.815406799316406,12.599831581115724,38.61225891113281,147.22776794433594,29.812744140625
2015-09-08,38.77606201171875,48.07904815673828,13.0104341506958,39.84687805175781,151.71693420410156,30.45564079284668
2015-09-09,38.197998046875,47.333038330078125,12.801105499267578,39.289794921875,151.5537109375,30.19227409362793
2015-09-10,38.340633392333984,47.69843292236328,12.913820266723633,39.56834030151367,151.74143981933594,30.46338653564453
